initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
  0.074  | -0.799  |   -133  |    116  |  0.000  |  0.015  |  1.512  |
  0.068  | -0.872  |   -150  |    122  |  0.007  |  0.014  |  1.502  |
  0.063  | -0.888  |   -155  |    122  |  0.009  |  0.013  |  1.477  |
  0.068  | -0.888  |   -155  |    122  |  0.009  |  0.013  |  1.476  |
  0.085  | -0.879  |   -154  |    120  |  0.007  |  0.015  |  1.483  |
  0.115  | -0.789  |   -141  |    105  |  0.003  |  0.016  |  1.517  |
  0.085  | -0.378  |    -81  |     37  | -0.005  |  0.016  |  1.480  |
  0.042  |  0.103  |    -10  |    -42  | -0.015  |  0.018  |  1.466  |
  0.020  |  0.407  |     35  |    -92  | -0.025  |  0.020  |  1.474  |
  0.033  |  0.564  |     60  |   -116  | -0.036  |  0.021  |  1.464  |
  0.034  |  0.702  |     75  |   -144  | -0.042  |  0.023  |  1.457  |
  0.029  |  0.792  |     85  |   -162  | -0.044  |  0.023  |  1.439  |
  0.021  |  0.792  |     88  |   -159  | -0.046  |  0.023  |  1.437  |
 -0.002  |  0.770  |     84  |   -156  | -0.043  |  0.023  |  1.452  |
  0.006  |  0.475  |     40  |   -108  | -0.035  |  0.023  |  1.472  |
  0.041  |  0.032  |    -20  |    -30  | -0.028  |  0.021  |  1.463  |
  0.062  | -0.359  |    -71  |     41  | -0.017  |  0.019  |  1.509  |
  0.195  | -1.196  |   -200  |    173  | -0.008  |  0.018  |  1.523  |
  0.244  | -1.296  |   -217  |    187  | -0.003  |  0.015  |  1.482  |
  0.181  | -0.670  |   -129  |     80  | -0.010  |  0.016  |  1.471  |
  0.149  |  0.038  |    -25  |    -37  | -0.027  |  0.020  |  1.449  |
  0.130  |  0.821  |     94  |   -162  | -0.052  |  0.025  |  1.444  |
  0.091  |  1.834  |    247  |   -325  | -0.080  |  0.028  |  1.423  |
  0.011  |  2.931  |    417  |   -497  | -0.114  |  0.036  |  1.433  |
  0.068  |  3.544  |    513  |   -592  | -0.147  |  0.041  |  1.445  |
  0.091  |  4.310  |    628  |   -716  | -0.181  |  0.045  |  1.408  |
  0.078  |  5.250  |    770  |   -867  | -0.212  |  0.051  |  1.412  |
  0.077  |  6.234  |    920  |  -1024  | -0.252  |  0.058  |  1.404  |
  0.055  |  7.212  |   1072  |  -1177  | -0.286  |  0.064  |  1.402  |
  0.049  |  8.110  |   1214  |  -1315  | -0.322  |  0.071  |  1.402  |
  0.064  |  8.915  |   1341  |  -1439  | -0.357  |  0.077  |  1.403  |
  0.073  |  9.756  |   1474  |  -1568  | -0.393  |  0.083  |  1.410  |
  0.075  | 10.653  |   1613  |  -1709  | -0.428  |  0.088  |  1.409  |
  0.077  | 11.590  |   1755  |  -1859  | -0.464  |  0.093  |  1.402  |
  0.075  | 12.507  |   1897  |  -2003  | -0.501  |  0.100  |  1.398  |
  0.049  | 13.543  |   2058  |  -2165  | -0.537  |  0.108  |  1.401  |
  0.037  | 14.460  |   2204  |  -2305  | -0.573  |  0.113  |  1.403  |
  0.061  | 15.230  |   2328  |  -2421  | -0.608  |  0.121  |  1.405  |
  0.073  | 16.041  |   2460  |  -2542  | -0.643  |  0.127  |  1.420  |
  0.064  | 16.933  |   2595  |  -2685  | -0.671  |  0.131  |  1.421  |
  0.061  | 17.789  |   2724  |  -2823  | -0.710  |  0.137  |  1.409  |
  0.067  | 18.591  |   2843  |  -2954  | -0.743  |  0.143  |  1.397  |
  0.023  | 19.598  |   2999  |  -3112  | -0.775  |  0.149  |  1.391  |
  0.002  | 20.335  |   3117  |  -3224  | -0.804  |  0.156  |  1.395  |
  0.055  | 20.807  |   3197  |  -3291  | -0.833  |  0.161  |  1.406  |
  0.044  | 21.474  |   3303  |  -3393  | -0.858  |  0.164  |  1.416  |
  0.002  | 22.134  |   3401  |  -3501  | -0.881  |  0.168  |  1.410  |
  0.043  | 22.510  |   3459  |  -3560  | -0.902  |  0.171  |  1.400  |
  0.047  | 22.943  |   3526  |  -3628  | -0.919  |  0.173  |  1.398  |
  0.040  | 23.382  |   3592  |  -3699  | -0.936  |  0.177  |  1.412  |
  0.044  | 23.728  |   3641  |  -3758  | -0.951  |  0.180  |  1.401  |
  0.046  | 24.036  |   3684  |  -3811  | -0.965  |  0.181  |  1.375  |
  0.043  | 24.318  |   3726  |  -3857  | -0.975  |  0.184  |  1.382  |
  0.042  | 24.549  |   3762  |  -3893  | -0.985  |  0.186  |  1.381  |
  0.044  | 24.703  |   3786  |  -3917  | -0.992  |  0.188  |  1.381  |
  0.043  | 24.812  |   3803  |  -3934  | -0.997  |  0.189  |  1.384  |
  0.042  | 24.870  |   3814  |  -3941  | -1.001  |  0.190  |  1.384  |
  0.044  | 24.876  |   3816  |  -3941  | -1.003  |  0.190  |  1.386  |
  0.035  | 24.873  |   3816  |  -3940  | -1.002  |  0.190  |  1.385  |
  0.015  | 24.854  |   3814  |  -3936  | -0.999  |  0.189  |  1.386  |
  0.006  | 24.658  |   3787  |  -3902  | -0.994  |  0.188  |  1.396  |
  0.041  | 24.248  |   3730  |  -3831  | -0.987  |  0.186  |  1.414  |
  0.070  | 23.847  |   3670  |  -3766  | -0.978  |  0.183  |  1.409  |
  0.080  | 23.552  |   3625  |  -3719  | -0.967  |  0.182  |  1.414  |
  0.080  | 23.337  |   3589  |  -3688  | -0.958  |  0.180  |  1.411  |
  0.081  | 23.170  |   3559  |  -3666  | -0.951  |  0.180  |  1.412  |
  0.079  | 23.064  |   3542  |  -3650  | -0.945  |  0.179  |  1.394  |
  0.074  | 23.039  |   3542  |  -3642  | -0.941  |  0.179  |  1.397  |
  0.064  | 23.029  |   3540  |  -3641  | -0.939  |  0.179  |  1.409  |
  0.075  | 22.946  |   3524  |  -3631  | -0.937  |  0.179  |  1.412  |
  0.088  | 22.920  |   3520  |  -3627  | -0.938  |  0.178  |  1.392  |
  0.108  | 22.962  |   3527  |  -3633  | -0.941  |  0.179  |  1.395  |
  0.092  | 23.231  |   3567  |  -3677  | -0.945  |  0.180  |  1.395  |
  0.065  | 23.558  |   3611  |  -3735  | -0.952  |  0.180  |  1.382  |
  0.050  | 23.821  |   3647  |  -3781  | -0.958  |  0.183  |  1.382  |
  0.046  | 24.004  |   3673  |  -3812  | -0.965  |  0.185  |  1.373  |
  0.046  | 24.129  |   3687  |  -3837  | -0.970  |  0.186  |  1.364  |
  0.047  | 24.206  |   3698  |  -3850  | -0.974  |  0.187  |  1.351  |
  0.049  | 24.232  |   3704  |  -3852  | -0.976  |  0.187  |  1.351  |
  0.048  | 24.238  |   3706  |  -3852  | -0.978  |  0.187  |  1.359  |
  0.041  | 24.238  |   3706  |  -3852  | -0.977  |  0.187  |  1.359  |
  0.025  | 24.219  |   3702  |  -3850  | -0.974  |  0.186  |  1.354  |
  0.015  | 24.055  |   3680  |  -3821  | -0.970  |  0.186  |  1.363  |
  0.046  | 23.722  |   3634  |  -3763  | -0.965  |  0.185  |  1.381  |
  0.073  | 23.395  |   3589  |  -3706  | -0.958  |  0.183  |  1.395  |
  0.083  | 23.180  |   3555  |  -3673  | -0.950  |  0.182  |  1.395  |
  0.086  | 23.055  |   3579  |  -3610  | -0.944  |  0.181  |  1.400  |
  0.095  | 22.894  |   3647  |  -3492  | -0.948  |  0.175  |  1.547  |
  0.102  | 22.837  |   3725  |  -3396  | -0.949  |  0.169  |  1.814  |
  0.095  | 22.962  |   3822  |  -3338  | -0.955  |  0.160  |  2.017  |
  0.089  | 23.231  |   3928  |  -3316  | -0.962  |  0.148  |  2.210  |
  0.084  | 23.568  |   4030  |  -3319  | -0.970  |  0.135  |  2.349  |
  0.069  | 24.062  |   4159  |  -3344  | -0.979  |  0.118  |  2.471  |
  0.044  | 24.681  |   4303  |  -3393  | -0.988  |  0.098  |  2.616  |
  0.029  | 25.309  |   4435  |  -3457  | -0.998  |  0.076  |  2.715  |
  0.025  | 25.944  |   4562  |  -3528  | -1.006  |  0.052  |  2.789  |
  0.019  | 26.598  |   4690  |  -3604  | -1.013  |  0.027  |  2.855  |
  0.006  | 27.298  |   4821  |  -3691  | -1.020  | -0.000  |  2.916  |
 -0.001  | 27.981  |   4940  |  -3785  | -1.024  | -0.027  |  2.974  |
 -0.010  | 28.657  |   5042  |  -3894  | -1.028  | -0.053  |  2.982  |
 -0.025  | 29.299  |   5137  |  -3999  | -1.033  | -0.076  |  2.971  |
 -0.036  | 29.812  |   5215  |  -4081  | -1.036  | -0.096  |  2.965  |
 -0.020  | 30.222  |   5278  |  -4146  | -1.041  | -0.117  |  2.958  |
 -0.018  | 30.662  |   5347  |  -4214  | -1.045  | -0.135  |  2.953  |
 -0.041  | 31.037  |   5405  |  -4273  | -1.047  | -0.148  |  2.949  |
 -0.034  | 31.216  |   5433  |  -4301  | -1.050  | -0.158  |  2.952  |
 -0.009  | 31.345  |   5455  |  -4319  | -1.051  | -0.167  |  2.955  |
 -0.023  | 31.515  |   5478  |  -4349  | -1.053  | -0.172  |  2.949  |
 -0.030  | 31.515  |   5479  |  -4348  | -1.053  | -0.174  |  2.939  |
 -0.044  | 31.505  |   5477  |  -4347  | -1.053  | -0.172  |  2.938  |
 -0.048  | 31.319  |   5442  |  -4324  | -1.052  | -0.167  |  2.937  |
 -0.014  | 30.912  |   5382  |  -4257  | -1.050  | -0.159  |  2.937  |
  0.017  | 30.492  |   5322  |  -4186  | -1.048  | -0.149  |  2.954  |
  0.028  | 30.168  |   5273  |  -4134  | -1.045  | -0.139  |  2.963  |
  0.024  | 29.930  |   5236  |  -4097  | -1.043  | -0.128  |  2.966  |
  0.022  | 29.700  |   5200  |  -4061  | -1.041  | -0.119  |  2.965  |
  0.028  | 29.462  |   5164  |  -4023  | -1.039  | -0.109  |  2.967  |
  0.029  | 29.263  |   5133  |  -3992  | -1.037  | -0.100  |  2.969  |
  0.027  | 29.113  |   5109  |  -3969  | -1.036  | -0.094  |  2.967  |
  0.027  | 28.988  |   5087  |  -3952  | -1.035  | -0.088  |  2.965  |
  0.026  | 28.888  |   5070  |  -3938  | -1.034  | -0.083  |  2.959  |
  0.025  | 28.805  |   5054  |  -3928  | -1.034  | -0.080  |  2.937  |
  0.024  | 28.734  |   5043  |  -3917  | -1.034  | -0.077  |  2.935  |
  0.026  | 28.673  |   5034  |  -3907  | -1.033  | -0.074  |  2.934  |
  0.022  | 28.661  |   5031  |  -3906  | -1.033  | -0.072  |  2.933  |
  0.015  | 28.654  |   5030  |  -3905  | -1.032  | -0.071  |  2.933  |
  0.010  | 28.632  |   5030  |  -3898  | -1.032  | -0.069  |  2.934  |
  0.027  | 28.487  |   5011  |  -3872  | -1.031  | -0.067  |  2.950  |
  0.275  | 27.474  |   4855  |  -3712  | -1.032  | -0.068  |  2.946  |
  0.283  | 27.862  |   4911  |  -3777  | -1.033  | -0.075  |  2.955  |
  0.182  | 29.116  |   5096  |  -3983  | -1.038  | -0.097  |  2.937  |
  0.118  | 30.421  |   5295  |  -4191  | -1.049  | -0.136  |  2.899  |
  0.106  | 31.678  |   5490  |  -4388  | -1.059  | -0.175  |  2.910  |
  0.084  | 33.093  |   5706  |  -4613  | -1.071  | -0.228  |  2.900  |
  0.083  | 34.510  |   5923  |  -4838  | -1.084  | -0.276  |  2.894  |
  0.086  | 35.995  |   6157  |  -5067  | -1.100  | -0.333  |  2.886  |
  0.082  | 37.595  |   6410  |  -5313  | -1.115  | -0.393  |  2.900  |
  0.058  | 39.359  |   6684  |  -5589  | -1.131  | -0.455  |  2.900  |
  0.065  | 41.046  |   6941  |  -5858  | -1.146  | -0.521  |  2.893  |
  0.071  | 42.778  |   7214  |  -6125  | -1.166  | -0.589  |  2.893  |
  0.055  | 44.695  |   7517  |  -6420  | -1.187  | -0.659  |  2.883  |
  0.021  | 46.703  |   7827  |  -6736  | -1.203  | -0.732  |  2.885  |
  0.014  | 48.566  |   8118  |  -7026  | -1.224  | -0.810  |  2.893  |
  0.032  | 50.279  |   8387  |  -7291  | -1.242  | -0.876  |  2.893  |
  0.029  | 52.206  |   8682  |  -7597  | -1.258  | -0.942  |  2.885  |
 -0.064  | 54.412  |   9022  |  -7945  | -1.278  | -1.024  |  2.879  |
 -0.139  | 56.288  |   9319  |  -8233  | -1.295  | -1.083  |  2.891  |
 -0.131  | 57.587  |   9522  |  -8435  | -1.310  | -1.141  |  2.893  |
 -0.118  | 58.607  |   9679  |  -8596  | -1.321  | -1.190  |  2.890  |
 -0.117  | 59.409  |   9803  |  -8722  | -1.331  | -1.230  |  2.886  |
 -0.117  | 59.928  |   9886  |  -8801  | -1.337  | -1.253  |  2.893  |
 -0.102  | 60.101  |   9914  |  -8827  | -1.341  | -1.269  |  2.896  |
 -0.101  | 60.085  |   9913  |  -8823  | -1.343  | -1.273  |  2.898  |
 -0.129  | 59.925  |   9890  |  -8796  | -1.341  | -1.267  |  2.903  |
 -0.095  | 59.213  |   9783  |  -8681  | -1.337  | -1.251  |  2.912  |
 -0.024  | 58.036  |   9602  |  -8495  | -1.330  | -1.222  |  2.915  |
  0.015  | 56.984  |   9436  |  -8333  | -1.324  | -1.187  |  2.902  |
  0.030  | 55.984  |   9277  |  -8180  | -1.318  | -1.154  |  2.896  |
  0.043  | 54.980  |   9121  |  -8023  | -1.309  | -1.117  |  2.898  |
  0.057  | 53.963  |   8966  |  -7861  | -1.299  | -1.081  |  2.909  |
  0.067  | 53.008  |   8821  |  -7708  | -1.288  | -1.042  |  2.925  |
  0.075  | 52.090  |   8681  |  -7562  | -1.281  | -1.010  |  2.924  |
  0.085  | 51.247  |   8546  |  -7434  | -1.274  | -0.977  |  2.920  |
  0.093  | 50.484  |   8420  |  -7322  | -1.268  | -0.943  |  2.899  |
  0.098  | 49.836  |   8314  |  -7226  | -1.263  | -0.919  |  2.885  |
  0.098  | 49.310  |   8231  |  -7145  | -1.258  | -0.896  |  2.884  |
  0.097  | 48.906  |   8167  |  -7083  | -1.254  | -0.877  |  2.883  |
  0.097  | 48.608  |   8122  |  -7035  | -1.250  | -0.863  |  2.887  |
  0.094  | 48.447  |   8100  |  -7007  | -1.247  | -0.854  |  2.902  |
  0.079  | 48.396  |   8094  |  -6997  | -1.245  | -0.847  |  2.909  |
  0.074  | 48.377  |   8088  |  -6997  | -1.244  | -0.845  |  2.909  |
  0.082  | 48.383  |   8087  |  -7000  | -1.245  | -0.845  |  2.900  |
  0.104  | 48.425  |   8094  |  -7006  | -1.245  | -0.847  |  2.902  |
  0.078  | 48.733  |   8164  |  -7032  | -1.248  | -0.855  |  2.887  |
  0.041  | 49.121  |   8319  |  -6998  | -1.245  | -0.866  |  3.040  |
  0.032  | 49.393  |   8463  |  -6939  | -1.239  | -0.882  | -2.989  |
  0.050  | 49.567  |   8583  |  -6873  | -1.229  | -0.897  | -2.751  |
  0.061  | 49.871  |   8694  |  -6857  | -1.213  | -0.911  | -2.520  |
  0.055  | 50.279  |   8806  |  -6872  | -1.201  | -0.921  | -2.399  |
  0.040  | 50.788  |   8938  |  -6899  | -1.185  | -0.933  | -2.273  |
  0.017  | 51.353  |   9070  |  -6943  | -1.163  | -0.942  | -2.145  |
  0.009  | 51.860  |   9187  |  -6984  | -1.147  | -0.954  | -2.044  |
  0.003  | 52.328  |   9294  |  -7023  | -1.126  | -0.962  | -1.967  |
received SIGINT Ctrl-C
