initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |

  0.001  | -0.087  |    -12  |     15  | -0.007  |  0.017  |  1.562  |
  0.057  | -0.391  |    -54  |     68  | -0.017  |  0.018  |  1.558  |
  0.074  | -0.471  |    -66  |     81  | -0.018  |  0.016  |  1.502  |
  0.079  | -0.468  |    -66  |     80  | -0.018  |  0.015  |  1.502  |
  0.092  | -0.423  |    -63  |     69  | -0.021  |  0.016  |  1.502  |
  0.081  | -0.164  |    -31  |     20  | -0.014  |  0.015  |  1.502  |
  0.045  |  0.199  |     21  |    -41  | -0.013  |  0.015  |  1.505  |
  0.035  |  0.394  |     47  |    -76  | -0.013  |  0.015  |  1.505  |
  0.035  |  0.510  |     62  |    -97  | -0.010  |  0.015  |  1.507  |
  0.033  |  0.545  |     66  |   -104  | -0.013  |  0.015  |  1.505  |
  0.027  |  0.539  |     64  |   -104  | -0.013  |  0.015  |  1.505  |
  0.004  |  0.513  |     60  |   -100  | -0.015  |  0.014  |  1.523  |
  0.010  |  0.231  |     19  |    -53  | -0.039  |  0.019  |  1.470  |
  0.045  | -0.215  |    -41  |     26  | -0.019  |  0.018  |  1.527  |
  0.063  | -0.558  |    -88  |     86  | -0.008  |  0.017  |  1.548  |
  0.073  | -0.811  |   -129  |    124  |  0.001  |  0.015  |  1.552  |
  0.075  | -0.962  |   -157  |    143  |  0.007  |  0.014  |  1.511  |
  0.074  | -1.017  |   -170  |    147  |  0.012  |  0.014  |  1.501  |
  0.078  | -1.020  |   -171  |    147  |  0.013  |  0.013  |  1.497  |
  0.097  | -0.994  |   -167  |    143  |  0.011  |  0.014  |  1.503  |
  0.112  | -0.776  |   -135  |    107  |  0.003  |  0.013  |  1.486  |
  0.065  | -0.276  |    -61  |     25  | -0.004  |  0.016  |  1.482  |
  0.033  |  0.160  |      4  |    -46  | -0.017  |  0.018  |  1.479  |
  0.026  |  0.433  |     46  |    -89  | -0.027  |  0.021  |  1.512  |
  0.032  |  0.622  |     75  |   -119  | -0.036  |  0.022  |  1.511  |
  0.025  |  0.773  |     94  |   -147  | -0.042  |  0.023  |  1.500  |
  0.022  |  0.824  |     97  |   -160  | -0.046  |  0.022  |  1.461  |
  0.013  |  0.815  |     95  |   -159  | -0.045  |  0.022  |  1.456  |
 -0.008  |  0.699  |     78  |   -140  | -0.042  |  0.022  |  1.459  |
  0.026  |  0.334  |     25  |    -79  | -0.034  |  0.022  |  1.484  |
  0.053  | -0.055  |    -25  |     -8  | -0.026  |  0.019  |  1.474  |
  0.060  | -0.353  |    -63  |     47  | -0.017  |  0.016  |  1.491  |
  0.070  | -0.613  |   -101  |     90  | -0.007  |  0.015  |  1.514  |
