initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
  0.061  | -0.148  |    -20  |     26  | -0.036  |  0.016  |  1.634  |
  0.058  | -0.324  |    -50  |     51  | -0.027  |  0.016  |  1.619  |
  0.058  | -0.452  |    -64  |     77  | -0.021  |  0.016  |  1.624  |
  0.063  | -0.548  |    -74  |     97  | -0.018  |  0.016  |  1.637  |
  0.068  | -0.600  |    -82  |    105  | -0.016  |  0.016  |  1.646  |
  0.078  | -0.600  |    -82  |    105  | -0.016  |  0.016  |  1.643  |
  0.104  | -0.564  |    -78  |     98  | -0.020  |  0.016  |  1.643  |
  0.185  | -0.661  |    -98  |    108  | -0.028  |  0.016  |  1.628  |
  0.230  | -0.334  |    -46  |     58  | -0.044  |  0.016  |  1.618  |
  0.179  |  0.667  |    100  |   -108  | -0.072  |  0.015  |  1.582  |
  0.103  |  1.975  |    303  |   -313  | -0.105  |  0.015  |  1.570  |
  0.018  |  3.245  |    504  |   -508  | -0.139  |  0.017  |  1.582  |
  0.076  |  4.028  |    627  |   -629  | -0.180  |  0.017  |  1.593  |
  0.097  |  4.955  |    762  |   -783  | -0.220  |  0.015  |  1.559  |
  0.076  |  6.084  |    930  |   -967  | -0.263  |  0.015  |  1.538  |
  0.055  |  7.254  |   1111  |  -1151  | -0.306  |  0.018  |  1.536  |
  0.044  |  8.309  |   1281  |  -1310  | -0.345  |  0.019  |  1.545  |
  0.077  |  9.271  |   1436  |  -1455  | -0.392  |  0.020  |  1.560  |
  0.078  | 10.445  |   1621  |  -1636  | -0.435  |  0.019  |  1.560  |
  0.071  | 11.558  |   1787  |  -1817  | -0.478  |  0.019  |  1.549  |
  0.074  | 12.677  |   1959  |  -1994  | -0.526  |  0.019  |  1.532  |
  0.045  | 13.912  |   2154  |  -2184  | -0.571  |  0.020  |  1.541  |
  0.041  | 14.980  |   2327  |  -2344  | -0.612  |  0.021  |  1.561  |
  0.075  | 15.961  |   2490  |  -2487  | -0.657  |  0.022  |  1.595  |
  0.069  | 17.058  |   2657  |  -2662  | -0.699  |  0.023  |  1.597  |
  0.058  | 18.171  |   2823  |  -2843  | -0.742  |  0.022  |  1.580  |
  0.047  | 19.312  |   2995  |  -3027  | -0.789  |  0.022  |  1.561  |
 -0.001  | 20.467  |   3178  |  -3204  | -0.831  |  0.021  |  1.551  |
  0.037  | 21.294  |   3314  |  -3326  | -0.871  |  0.025  |  1.597  |
  0.029  | 22.253  |   3468  |  -3471  | -0.908  |  0.025  |  1.607  |
  0.020  | 23.087  |   3597  |  -3602  | -0.940  |  0.024  |  1.603  |
  0.044  | 23.776  |   3696  |  -3718  | -0.972  |  0.025  |  1.581  |
  0.044  | 24.511  |   3804  |  -3839  | -1.002  |  0.024  |  1.555  |
  0.036  | 25.239  |   3916  |  -3954  | -1.031  |  0.024  |  1.541  |
  0.022  | 25.983  |   4036  |  -4066  | -1.059  |  0.025  |  1.547  |
 -0.018  | 26.691  |   4154  |  -4169  | -1.084  |  0.026  |  1.572  |
 -0.016  | 27.140  |   4231  |  -4232  | -1.106  |  0.026  |  1.594  |
  0.001  | 27.445  |   4281  |  -4277  | -1.123  |  0.026  |  1.610  |
 -0.004  | 27.698  |   4325  |  -4312  | -1.135  |  0.026  |  1.623  |
 -0.023  | 27.782  |   4337  |  -4326  | -1.140  |  0.026  |  1.620  |
 -0.027  | 27.743  |   4333  |  -4318  | -1.140  |  0.026  |  1.622  |
 -0.022  | 27.516  |   4300  |  -4280  | -1.135  |  0.026  |  1.629  |
  0.016  | 27.028  |   4226  |  -4202  | -1.125  |  0.026  |  1.634  |
  0.043  | 26.525  |   4147  |  -4124  | -1.110  |  0.026  |  1.633  |
  0.051  | 26.076  |   4074  |  -4057  | -1.095  |  0.027  |  1.624  |
  0.061  | 25.643  |   4005  |  -3991  | -1.080  |  0.027  |  1.618  |
  0.070  | 25.229  |   3940  |  -3927  | -1.064  |  0.028  |  1.612  |
  0.070  | 24.886  |   3887  |  -3873  | -1.050  |  0.028  |  1.612  |
  0.069  | 24.581  |   3841  |  -3824  | -1.037  |  0.028  |  1.613  |
  0.073  | 24.286  |   3793  |  -3780  | -1.024  |  0.029  |  1.610  |
  0.078  | 24.065  |   3756  |  -3748  | -1.015  |  0.030  |  1.603  |
  0.078  | 23.908  |   3731  |  -3724  | -1.008  |  0.030  |  1.600  |
  0.074  | 23.831  |   3718  |  -3713  | -1.003  |  0.031  |  1.598  |
  0.070  | 23.764  |   3707  |  -3703  | -0.999  |  0.031  |  1.597  |
  0.069  | 23.728  |   3701  |  -3698  | -0.996  |  0.031  |  1.598  |
  0.065  | 23.728  |   3701  |  -3698  | -0.995  |  0.031  |  1.595  |
  0.067  | 23.728  |   3701  |  -3698  | -0.995  |  0.031  |  1.595  |
  0.074  | 23.735  |   3701  |  -3700  | -0.996  |  0.031  |  1.595  |
  0.087  | 23.751  |   3705  |  -3701  | -0.999  |  0.031  |  1.594  |
  0.090  | 23.921  |   3730  |  -3729  | -1.002  |  0.031  |  1.593  |
  0.059  | 24.196  |   3766  |  -3779  | -1.007  |  0.031  |  1.570  |
  0.042  | 24.386  |   3788  |  -3816  | -1.012  |  0.031  |  1.554  |
  0.048  | 24.469  |   3794  |  -3836  | -1.016  |  0.031  |  1.526  |
  0.046  | 24.546  |   3825  |  -3829  | -1.020  |  0.032  |  1.517  |
  0.023  | 24.674  |   3929  |  -3765  | -1.025  |  0.029  |  1.643  |
  0.027  | 24.642  |   4021  |  -3663  | -1.032  |  0.024  |  1.890  |
  0.052  | 24.520  |   4105  |  -3541  | -1.037  |  0.017  |  2.169  |
  0.076  | 24.491  |   4184  |  -3453  | -1.040  |  0.007  |  2.402  |
  0.071  | 24.655  |   4263  |  -3425  | -1.041  | -0.001  |  2.565  |
  0.061  | 24.934  |   4348  |  -3427  | -1.044  | -0.013  |  2.681  |
  0.070  | 25.226  |   4434  |  -3432  | -1.047  | -0.026  |  2.773  |
  0.062  | 25.684  |   4534  |  -3475  | -1.051  | -0.045  |  2.866  |
  0.036  | 26.281  |   4648  |  -3547  | -1.053  | -0.063  |  2.921  |
  0.012  | 26.884  |   4764  |  -3619  | -1.056  | -0.086  |  2.979  |
  0.003  | 27.432  |   4870  |  -3684  | -1.058  | -0.108  |  3.026  |
 -0.002  | 27.955  |   4974  |  -3743  | -1.058  | -0.130  |  3.077  |
 -0.004  | 28.475  |   5074  |  -3805  | -1.057  | -0.149  |  3.141  |
 -0.006  | 29.004  |   5160  |  -3884  | -1.056  | -0.170  | -3.100  |
 -0.017  | 29.517  |   5237  |  -3967  | -1.055  | -0.190  | -3.097  |
 -0.018  | 29.950  |   5303  |  -4036  | -1.055  | -0.207  | -3.102  |
 -0.021  | 30.344  |   5362  |  -4100  | -1.055  | -0.224  | -3.112  |
 -0.026  | 30.668  |   5411  |  -4152  | -1.055  | -0.236  | -3.116  |
 -0.021  | 30.889  |   5444  |  -4188  | -1.055  | -0.248  | -3.122  |
 -0.019  | 31.034  |   5466  |  -4211  | -1.055  | -0.255  | -3.123  |
 -0.017  | 31.091  |   5475  |  -4220  | -1.055  | -0.259  | -3.122  |
 -0.018  | 31.107  |   5480  |  -4220  | -1.055  | -0.261  | -3.123  |
 -0.034  | 31.098  |   5478  |  -4219  | -1.055  | -0.259  | -3.120  |
 -0.050  | 30.912  |   5449  |  -4190  | -1.055  | -0.254  | -3.120  |
 -0.018  | 30.495  |   5389  |  -4120  | -1.055  | -0.244  | -3.104  |
  0.012  | 30.040  |   5320  |  -4047  | -1.055  | -0.234  | -3.094  |
  0.026  | 29.658  |   5262  |  -3986  | -1.055  | -0.221  | -3.091  |
  0.033  | 29.340  |   5213  |  -3936  | -1.055  | -0.209  | -3.091  |
  0.034  | 29.084  |   5173  |  -3896  | -1.056  | -0.198  | -3.092  |
  0.033  | 28.875  |   5139  |  -3865  | -1.056  | -0.189  | -3.092  |
  0.034  | 28.705  |   5112  |  -3839  | -1.057  | -0.180  | -3.097  |
  0.034  | 28.590  |   5093  |  -3822  | -1.057  | -0.174  | -3.100  |
  0.028  | 28.529  |   5078  |  -3818  | -1.057  | -0.170  | -3.102  |
  0.020  | 28.500  |   5070  |  -3817  | -1.057  | -0.167  | -3.117  |
  0.027  | 28.439  |   5061  |  -3807  | -1.058  | -0.165  | -3.125  |
  0.032  | 28.398  |   5058  |  -3797  | -1.057  | -0.164  | -3.114  |
  0.042  | 28.388  |   5056  |  -3796  | -1.058  | -0.165  | -3.114  |
  0.058  | 28.401  |   5058  |  -3798  | -1.057  | -0.166  | -3.115  |
  0.050  | 28.651  |   5096  |  -3838  | -1.059  | -0.172  | -3.138  |
  0.009  | 28.984  |   5147  |  -3891  | -1.057  | -0.176  | -3.118  |
 -0.012  | 29.138  |   5170  |  -3916  | -1.057  | -0.181  | -3.120  |
  0.004  | 29.132  |   5169  |  -3915  | -1.057  | -0.186  | -3.119  |
  0.117  | 28.587  |   5087  |  -3827  | -1.057  | -0.187  | -3.119  |
  0.286  | 28.260  |   5040  |  -3772  | -1.059  | -0.198  |  3.140  |
  0.203  | 29.289  |   5194  |  -3939  | -1.059  | -0.217  |  3.137  |
  0.132  | 30.537  |   5387  |  -4135  | -1.059  | -0.245  |  3.136  |
  0.109  | 31.746  |   5573  |  -4326  | -1.059  | -0.288  |  3.133  |
  0.082  | 33.064  |   5774  |  -4536  | -1.058  | -0.334  |  3.124  |
  0.078  | 34.372  |   5976  |  -4742  | -1.060  | -0.381  |  3.119  |
  0.083  | 35.748  |   6192  |  -4955  | -1.061  | -0.439  |  3.118  |
  0.087  | 37.374  |   6448  |  -5206  | -1.061  | -0.502  |  3.125  |
  0.066  | 39.032  |   6706  |  -5465  | -1.060  | -0.558  | -3.138  |
  0.054  | 40.696  |   6966  |  -5724  | -1.062  | -0.627  | -3.140  |
  0.071  | 42.300  |   7215  |  -5975  | -1.061  | -0.688  |  3.140  |
  0.079  | 44.054  |   7489  |  -6248  | -1.062  | -0.763  | -3.137  |
  0.025  | 46.055  |   7801  |  -6560  | -1.062  | -0.834  | -3.135  |
 -0.004  | 47.905  |   8089  |  -6849  | -1.062  | -0.900  |  3.141  |
  0.038  | 49.499  |   8340  |  -7095  | -1.063  | -0.977  | -3.134  |
  0.059  | 51.215  |   8608  |  -7362  | -1.063  | -1.049  | -3.133  |
 -0.029  | 53.364  |   8941  |  -7699  | -1.063  | -1.119  |  3.134  |
 -0.123  | 55.336  |   9247  |  -8008  | -1.062  | -1.180  |  3.136  |
 -0.125  | 56.709  |   9465  |  -8218  | -1.063  | -1.241  | -3.135  |
 -0.111  | 57.754  |   9631  |  -8378  | -1.063  | -1.292  | -3.126  |
 -0.114  | 58.588  |   9760  |  -8509  | -1.062  | -1.335  | -3.125  |
 -0.113  | 59.149  |   9846  |  -8598  | -1.062  | -1.362  | -3.127  |
 -0.101  | 59.396  |   9885  |  -8636  | -1.061  | -1.379  | -3.130  |
 -0.087  | 59.406  |   9888  |  -8636  | -1.061  | -1.387  | -3.126  |
 -0.114  | 59.357  |   9885  |  -8624  | -1.061  | -1.385  | -3.121  |
 -0.102  | 58.886  |   9816  |  -8546  | -1.062  | -1.372  | -3.106  |
 -0.040  | 57.982  |   9679  |  -8401  | -1.063  | -1.354  | -3.101  |
  0.005  | 57.016  |   9531  |  -8248  | -1.064  | -1.324  | -3.088  |
  0.020  | 56.112  |   9391  |  -8106  | -1.065  | -1.292  | -3.083  |
  0.029  | 55.179  |   9242  |  -7964  | -1.067  | -1.260  | -3.090  |
  0.042  | 54.194  |   9087  |  -7812  | -1.068  | -1.221  | -3.097  |
  0.061  | 53.210  |   8933  |  -7659  | -1.070  | -1.187  | -3.097  |
  0.077  | 52.299  |   8789  |  -7519  | -1.072  | -1.149  | -3.104  |
  0.083  | 51.488  |   8663  |  -7392  | -1.072  | -1.118  | -3.098  |
  0.087  | 50.750  |   8548  |  -7277  | -1.074  | -1.088  | -3.097  |
  0.091  | 50.099  |   8447  |  -7175  | -1.075  | -1.060  | -3.096  |
  0.101  | 49.496  |   8353  |  -7081  | -1.076  | -1.032  | -3.097  |
  0.081  | 49.063  |   8285  |  -7014  | -1.077  | -1.013  | -3.101  |
  0.084  | 48.640  |   8223  |  -6944  | -1.077  | -0.994  | -3.090  |
  0.103  | 48.281  |   8166  |  -6889  | -1.078  | -0.982  | -3.088  |
  0.103  | 48.156  |   8143  |  -6873  | -1.078  | -0.972  | -3.100  |
  0.090  | 48.159  |   8143  |  -6874  | -1.079  | -0.967  | -3.108  |
  0.101  | 48.172  |   8145  |  -6876  | -1.079  | -0.967  | -3.107  |
  0.099  | 48.370  |   8171  |  -6912  | -1.079  | -0.972  | -3.111  |
  0.068  | 48.752  |   8227  |  -6975  | -1.079  | -0.979  | -3.119  |
  0.040  | 49.098  |   8337  |  -6973  | -1.078  | -0.990  | -3.102  |
  0.030  | 49.371  |   8480  |  -6915  | -1.072  | -1.004  | -2.893  |
  0.041  | 49.557  |   8595  |  -6858  | -1.061  | -1.020  | -2.655  |
  0.050  | 49.791  |   8711  |  -6815  | -1.048  | -1.029  | -2.466  |
received SIGINT Ctrl-C
