initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |

  0.082  |  0.109  |     13  |    -21  | -0.024  |  0.014  |  1.610  |
  0.049  |  0.346  |     48  |    -60  | -0.030  |  0.015  |  1.607  |
  0.034  |  0.487  |     72  |    -80  | -0.037  |  0.015  |  1.602  |
  0.037  |  0.516  |     81  |    -80  | -0.037  |  0.015  |  1.601  |
  0.042  |  0.516  |     81  |    -80  | -0.041  |  0.015  |  1.601  |
  0.039  |  0.516  |     81  |    -80  | -0.043  |  0.015  |  1.601  |
  0.026  |  0.510  |     80  |    -79  | -0.046  |  0.015  |  1.599  |
  0.000  |  0.420  |     65  |    -66  | -0.043  |  0.015  |  1.601  |
  0.028  |  0.103  |     20  |    -12  | -0.037  |  0.015  |  1.601  |
  0.053  | -0.244  |    -35  |     41  | -0.038  |  0.015  |  1.601  |
  0.060  | -0.481  |    -71  |     79  | -0.040  |  0.015  |  1.600  |
  0.068  | -0.673  |    -98  |    112  | -0.051  |  0.014  |  1.620  |
  0.072  | -0.776  |   -114  |    128  | -0.030  |  0.015  |  1.627  |
  0.071  | -0.786  |   -116  |    129  | -0.008  |  0.015  |  1.633  |
  0.084  | -0.782  |   -116  |    128  | -0.009  |  0.015  |  1.630  |
  0.111  | -0.667  |    -96  |    112  | -0.014  |  0.015  |  1.630  |
  0.079  | -0.289  |    -41  |     49  | -0.022  |  0.015  |  1.628  |
  0.043  |  0.141  |     21  |    -23  | -0.032  |  0.015  |  1.621  |
  0.032  |  0.420  |     60  |    -71  | -0.042  |  0.015  |  1.604  |
  0.030  |  0.632  |     95  |   -102  | -0.050  |  0.015  |  1.610  |
  0.022  |  0.786  |    122  |   -123  | -0.056  |  0.015  |  1.618  |
  0.014  |  0.815  |    127  |   -127  | -0.060  |  0.015  |  1.629  |
  0.010  |  0.815  |    127  |   -127  | -0.061  |  0.015  |  1.632  |
  0.003  |  0.731  |    120  |   -108  | -0.058  |  0.015  |  1.631  |
  0.035  |  0.433  |     79  |    -56  | -0.053  |  0.014  |  1.649  |
  0.061  |  0.138  |     35  |     -8  | -0.048  |  0.014  |  1.655  |
  0.063  | -0.035  |      1  |     12  | -0.041  |  0.015  |  1.647  |
  0.058  | -0.160  |    -26  |     24  | -0.034  |  0.016  |  1.625  |
  0.054  | -0.266  |    -42  |     41  | -0.028  |  0.016  |  1.613  |
  0.057  | -0.359  |    -52  |     60  | -0.024  |  0.016  |  1.621  |
  0.063  | -0.423  |    -57  |     75  | -0.022  |  0.016  |  1.635  |
  0.065  | -0.439  |    -57  |     80  | -0.021  |  0.016  |  1.639  |
  0.076  | -0.439  |    -57  |     80  | -0.022  |  0.016  |  1.644  |
  0.098  | -0.401  |    -53  |     72  | -0.026  |  0.016  |  1.644  |
  0.081  | -0.087  |     -8  |     19  | -0.032  |  0.016  |  1.634  |
  0.044  |  0.298  |     41  |    -52  | -0.039  |  0.015  |  1.617  |
  0.027  |  0.542  |     78  |    -91  | -0.046  |  0.016  |  1.605  |
  0.023  |  0.651  |     98  |   -105  | -0.052  |  0.016  |  1.609  |
  0.027  |  0.648  |     99  |   -103  | -0.055  |  0.016  |  1.617  |
  0.024  |  0.645  |     98  |   -103  | -0.055  |  0.016  |  1.619  |
  0.009  |  0.606  |     93  |    -96  | -0.053  |  0.016  |  1.619  |
  0.022  |  0.404  |     66  |    -60  | -0.049  |  0.015  |  1.624  |
  0.048  |  0.103  |     23  |     -9  | -0.043  |  0.015  |  1.637  |
