initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
  0.042  | 24.299  |   3773  |  -3804  | -0.982  |  0.033  |  1.562  |
  0.040  | 25.021  |   3884  |  -3918  | -1.014  |  0.034  |  1.557  |
  0.027  | 25.777  |   4006  |  -4032  | -1.045  |  0.034  |  1.561  |
 -0.005  | 26.525  |   4128  |  -4143  | -1.071  |  0.034  |  1.577  |
 -0.019  | 27.060  |   4215  |  -4223  | -1.092  |  0.034  |  1.591  |
 -0.005  | 27.413  |   4272  |  -4276  | -1.111  |  0.034  |  1.599  |
  0.005  | 27.714  |   4324  |  -4318  | -1.125  |  0.034  |  1.611  |
 -0.012  | 27.933  |   4358  |  -4352  | -1.134  |  0.034  |  1.611  |
 -0.022  | 27.939  |   4358  |  -4354  | -1.137  |  0.034  |  1.610  |
 -0.037  | 27.814  |   4337  |  -4336  | -1.133  |  0.034  |  1.610  |
 -0.010  | 27.375  |   4273  |  -4263  | -1.124  |  0.034  |  1.615  |
  0.025  | 26.804  |   4189  |  -4169  | -1.109  |  0.034  |  1.626  |
  0.051  | 26.242  |   4101  |  -4082  | -1.094  |  0.034  |  1.590  |
  0.062  | 25.736  |   4020  |  -4005  | -1.078  |  0.035  |  1.587  |
  0.070  | 25.271  |   3946  |  -3934  | -1.062  |  0.035  |  1.581  |
  0.074  | 24.857  |   3880  |  -3871  | -1.044  |  0.036  |  1.579  |
  0.076  | 24.508  |   3825  |  -3817  | -1.028  |  0.037  |  1.575  |
  0.077  | 24.190  |   3777  |  -3766  | -1.014  |  0.037  |  1.574  |
  0.077  | 23.953  |   3742  |  -3727  | -1.005  |  0.037  |  1.579  |
  0.078  | 23.764  |   3715  |  -3695  | -0.996  |  0.038  |  1.587  |
  0.078  | 23.622  |   3694  |  -3672  | -0.990  |  0.038  |  1.592  |
  0.074  | 23.561  |   3681  |  -3666  | -0.985  |  0.038  |  1.592  |
  0.062  | 23.536  |   3678  |  -3661  | -0.981  |  0.038  |  1.584  |
  0.064  | 23.491  |   3677  |  -3648  | -0.979  |  0.038  |  1.596  |
  0.066  | 23.462  |   3674  |  -3642  | -0.979  |  0.038  |  1.611  |
  0.071  | 23.446  |   3669  |  -3642  | -0.978  |  0.038  |  1.600  |
  0.080  | 23.452  |   3669  |  -3644  | -0.979  |  0.038  |  1.600  |
  0.098  | 23.484  |   3674  |  -3649  | -0.982  |  0.038  |  1.600  |
  0.093  | 23.703  |   3702  |  -3689  | -0.987  |  0.038  |  1.588  |
  0.064  | 24.014  |   3739  |  -3749  | -0.993  |  0.038  |  1.562  |
  0.040  | 24.280  |   3773  |  -3798  | -0.998  |  0.039  |  1.538  |
  0.032  | 24.424  |   3799  |  -3817  | -1.004  |  0.039  |  1.514  |
  0.029  | 24.517  |   3886  |  -3759  | -1.010  |  0.038  |  1.587  |
  0.029  | 24.533  |   3988  |  -3662  | -1.018  |  0.037  |  1.841  |
  0.048  | 24.472  |   4076  |  -3555  | -1.023  |  0.027  |  2.084  |
  0.069  | 24.469  |   4175  |  -3455  | -1.027  |  0.014  |  2.386  |
  0.067  | 24.623  |   4254  |  -3424  | -1.029  |  0.005  |  2.557  |
  0.060  | 24.892  |   4338  |  -3424  | -1.032  | -0.006  |  2.666  |
  0.069  | 25.181  |   4417  |  -3435  | -1.036  | -0.021  |  2.770  |
  0.062  | 25.611  |   4509  |  -3477  | -1.039  | -0.036  |  2.832  |
  0.035  | 26.191  |   4620  |  -3547  | -1.043  | -0.057  |  2.891  |
  0.015  | 26.752  |   4730  |  -3612  | -1.046  | -0.076  |  2.949  |
  0.004  | 27.278  |   4836  |  -3670  | -1.048  | -0.095  |  3.003  |
 -0.001  | 27.772  |   4939  |  -3721  | -1.048  | -0.115  |  3.081  |
 -0.005  | 28.237  |   5038  |  -3767  | -1.048  | -0.135  | -3.131  |
 -0.009  | 28.648  |   5109  |  -3824  | -1.047  | -0.154  | -3.076  |
  0.005  | 29.052  |   5169  |  -3890  | -1.046  | -0.171  | -3.075  |
 -0.010  | 29.504  |   5231  |  -3969  | -1.045  | -0.187  | -3.102  |
 -0.024  | 29.886  |   5286  |  -4033  | -1.045  | -0.201  | -3.125  |
 -0.014  | 30.152  |   5326  |  -4076  | -1.045  | -0.214  | -3.139  |
 -0.008  | 30.389  |   5360  |  -4116  | -1.045  | -0.224  | -3.136  |
 -0.015  | 30.601  |   5390  |  -4152  | -1.045  | -0.232  | -3.137  |
 -0.016  | 30.726  |   5406  |  -4175  | -1.045  | -0.238  |  3.137  |
 -0.013  | 30.751  |   5409  |  -4180  | -1.046  | -0.241  |  3.129  |
 -0.014  | 30.751  |   5409  |  -4180  | -1.046  | -0.242  |  3.126  |
 -0.030  | 30.739  |   5407  |  -4178  | -1.046  | -0.240  |  3.127  |
 -0.044  | 30.585  |   5388  |  -4149  | -1.045  | -0.235  |  3.129  |
 -0.019  | 30.219  |   5339  |  -4084  | -1.045  | -0.227  | -3.129  |
  0.013  | 29.789  |   5278  |  -4011  | -1.045  | -0.217  | -3.108  |
  0.029  | 29.433  |   5225  |  -3953  | -1.046  | -0.206  | -3.098  |
  0.032  | 29.174  |   5185  |  -3912  | -1.046  | -0.196  | -3.094  |
  0.031  | 28.959  |   5151  |  -3879  | -1.046  | -0.187  | -3.093  |
  0.034  | 28.770  |   5119  |  -3852  | -1.047  | -0.179  | -3.098  |
  0.034  | 28.635  |   5095  |  -3834  | -1.047  | -0.171  | -3.106  |
  0.029  | 28.545  |   5080  |  -3821  | -1.047  | -0.167  | -3.111  |
  0.029  | 28.475  |   5070  |  -3809  | -1.048  | -0.163  | -3.112  |
  0.025  | 28.433  |   5065  |  -3801  | -1.047  | -0.160  | -3.108  |
  0.027  | 28.394  |   5058  |  -3796  | -1.048  | -0.158  | -3.110  |
  0.030  | 28.382  |   5055  |  -3795  | -1.048  | -0.158  | -3.113  |
  0.033  | 28.382  |   5055  |  -3795  | -1.048  | -0.158  | -3.112  |
