initializing xbee... 
starting print thread... 
starting setpoint thread... 
initializing imu... 
initializing controller...
initializing motors...
resetting encoders...
initializing odometry...
attaching imu interupt...
we are running!!!...

RUNNING: Hold upright to balance.
                 SENSORS               |            MOCAP            |
    θ    |    φ    |  L Enc  |  R Enc  |    X    |    Y    |    ψ    |
  0.054  | 23.764  |   3698  |  -3712  | -0.949  |  0.037  |  1.565  |
  0.043  | 25.142  |   3907  |  -3933  | -0.998  |  0.037  |  1.551  |
 -0.033  | 26.833  |   4174  |  -4193  | -1.056  |  0.039  |  1.523  |
 -0.262  | 28.834  |   4493  |  -4498  | -1.101  |  0.042  |  1.564  |
 -0.367  | 29.802  |   4642  |  -4651  | -1.130  |  0.042  |  1.584  |
 -0.307  | 29.408  |   4582  |  -4588  | -1.140  |  0.041  |  1.580  |
 -0.157  | 27.984  |   4360  |  -4366  | -1.124  |  0.042  |  1.578  |
  0.128  | 25.662  |   4003  |  -3999  | -1.095  |  0.042  |  1.578  |
  0.407  | 23.664  |   3701  |  -3678  | -1.058  |  0.039  |  1.570  |
  0.400  | 23.395  |   3658  |  -3637  | -1.034  |  0.040  |  1.590  |
  0.276  | 24.216  |   3766  |  -3785  | -1.031  |  0.040  |  1.559  |
  0.049  | 25.822  |   4008  |  -4044  | -1.044  |  0.043  |  1.545  |
 -0.190  | 27.272  |   4238  |  -4266  | -1.064  |  0.043  |  1.524  |
 -0.201  | 27.416  |   4267  |  -4282  | -1.074  |  0.045  |  1.545  |
 -0.131  | 26.797  |   4176  |  -4180  | -1.072  |  0.045  |  1.554  |
  0.032  | 25.463  |   3974  |  -3966  | -1.055  |  0.043  |  1.590  |
  0.244  | 24.023  |   3756  |  -3735  | -1.035  |  0.044  |  1.594  |
  0.289  | 23.549  |   3681  |  -3662  | -1.032  |  0.044  |  1.594  |
  0.245  | 23.828  |   3715  |  -3715  | -1.032  |  0.044  |  1.594  |
  0.131  | 24.703  |   3838  |  -3865  | -1.019  |  0.047  |  1.566  |
 -0.041  | 25.880  |   4020  |  -4050  | -1.035  |  0.047  |  1.515  |
 -0.128  | 26.454  |   4114  |  -4135  | -1.047  |  0.048  |  1.534  |
 -0.103  | 26.329  |   4096  |  -4114  | -1.053  |  0.048  |  1.541  |
 -0.034  | 25.749  |   4011  |  -4018  | -1.047  |  0.048  |  1.548  |
  0.101  | 24.754  |   3862  |  -3857  | -1.036  |  0.047  |  1.592  |
  0.216  | 24.036  |   3753  |  -3742  | -1.025  |  0.048  |  1.581  |
  0.204  | 24.030  |   3753  |  -3740  | -1.018  |  0.047  |  1.597  |
  0.157  | 24.453  |   3807  |  -3818  | -1.019  |  0.048  |  1.579  |
  0.045  | 25.300  |   3932  |  -3957  | -1.027  |  0.049  |  1.564  |
